国家,情感倾向,关键词,TF-IDF得分,排名
中国,正向,彩蛋,8.7259,1
中国,正向,神作,7.0895,2
中国,正向,巨人,5.8624,3
中国,正向,最后,5.7338,4
中国,正向,还是,4.7127,5
中国,正向,电影院,4.6062,6
中国,正向,艾伦,4.5327,7
中国,正向,三笠,3.6077,8
中国,正向,结局,3.5141,9
中国,正向,看到,3.475,10
中国,正向,喜欢,3.3563,11
中国,正向,一起,3.3291,12
中国,正向,震撼,3.271,13
中国,正向,一次,3.1598,14
中国,正向,没有,3.0251,15
中国,正向,自由,3.021,16
中国,正向,电影,3.015,17
中国,正向,作品,2.8902,18
中国,正向,我们,2.8855,19
中国,正向,就是,2.7832,20
中国,正向,完美,2.782,21
中国,正向,世界,2.6846,22
中国,正向,好看,2.6347,23
中国,正向,永远,2.4808,24
中国,正向,影院,2.4707,25
中国,正向,但是,2.4651,26
中国,正向,这个,2.4365,27
中国,正向,心脏,2.3449,28
中国,正向,动漫,2.2908,29
中国,正向,结尾,2.2711,30
中国,正向,看过,2.2675,31
中国,正向,有意思,2.2413,32
中国,正向,知道,2.2029,33
中国,正向,时候,2.1915,34
中国,正向,呜呜,2.1173,35
中国,正向,爆哭,2.0725,36
中国,正向,献出,2.0644,37
中国,正向,献出 心脏,2.0644,38
中国,正向,总集,2.0433,39
中国,正向,結尾,2.0378,40
中国,正向,看一遍,2.0252,41
中国,正向,最后 彩蛋,2.0237,42
中国,正向,完结,2.0115,43
中国,正向,可以,1.991,44
中国,正向,动画,1.9718,45
中国,正向,最终,1.9456,46
中国,正向,虽然,1.9363,47
中国,正向,伟大,1.9347,48
中国,正向,只是,1.9273,49
中国,正向,为了,1.922,50
中国,负向,烂尾,2.5847,1
中国,负向,结局,2.4258,2
中国,负向,一遍,2.1938,3
中国,负向,还是,2.0756,4
中国,负向,最后,1.9105,5
中国,负向,艾伦,1.8526,6
中国,负向,彩蛋,1.5907,7
中国,负向,已经,1.5789,8
中国,负向,最终,1.511,9
中国,负向,不看,1.3564,10
中国,负向,看到,1.3296,11
中国,负向,没有,1.3226,12
中国,负向,人类,1.3177,13
中国,负向,就是,1.263,14
中国,负向,巨人,1.1889,15
中国,负向,抱头痛哭,1.114,16
中国,负向,以为,1.0845,17
中国,负向,喜欢,1.0814,18
中国,负向,日本,1.0721,19
中国,负向,为了,1.0591,20
中国,负向,一部,1.0241,21
中国,负向,自由,1.0094,22
中国,负向,自己,1.0059,23
中国,负向,看得,1.0,24
中国,负向,文戏,1.0,25
中国,负向,格好,1.0,26
中国,负向,没看,0.9916,27
中国,负向,有点,0.9784,28
中国,负向,这么,0.9449,29
中国,负向,作者,0.9432,30
中国,负向,不是,0.8935,31
中国,负向,总集,0.8917,32
中国,负向,后悔,0.8613,33
中国,负向,看过,0.8595,34
中国,负向,所以,0.8582,35
中国,负向,无法,0.858,36
中国,负向,但是,0.8157,37
中国,负向,兵长,0.8017,38
中国,负向,心脏,0.7743,39
中国,负向,合集,0.7608,40
中国,负向,你们,0.7503,41
中国,负向,韩吉,0.748,42
中国,负向,结尾,0.7387,43
中国,负向,直接,0.7359,44
中国,负向,怎么,0.7319,45
中国,负向,一直,0.7312,46
中国,负向,一起,0.7241,47
中国,负向,只是,0.72,48
中国,负向,韭菜,0.7165,49
中国,负向,不会,0.7055,50
中国,中性,彩蛋,5.046,1
中国,中性,总集,3.9642,2
中国,中性,结局,3.4397,3
中国,中性,补标,3.3555,4
中国,中性,巨人,2.7381,5
中国,中性,艾伦,2.6958,6
中国,中性,结束,1.7791,7
中国,中性,25,1.7507,8
中国,中性,落幕,1.7071,9
中国,中性,最后,1.6855,10
中国,中性,最终,1.5967,11
中国,中性,就是,1.5498,12
中国,中性,2025,1.5142,13
中国,中性,喜欢,1.5093,14
中国,中性,人类,1.5021,15
中国,中性,终于,1.3932,16
中国,中性,作品,1.367,17
中国,中性,进击,1.345,18
中国,中性,10,1.3407,19
中国,中性,进击 巨人,1.3342,20
中国,中性,忘记,1.31,21
中国,中性,战争,1.3032,22
中国,中性,他们,1.2657,23
中国,中性,只是,1.2389,24
中国,中性,之后,1.191,25
中国,中性,终于 结束,1.1561,26
中国,中性,而已,1.0553,27
中国,中性,漫画,1.0505,28
中国,中性,世界,1.0243,29
中国,中性,这样,1.0148,30
中国,中性,只能,1.0079,31
中国,中性,已阅,1.0,32
中国,中性,四星,1.0,33
中国,中性,句号,1.0,34
中国,中性,二象性,1.0,35
中国,中性,已下,1.0,36
中国,中性,requiem,1.0,37
中国,中性,undefined,1.0,38
中国,中性,以为,0.9987,39
中国,中性,01,0.9973,40
中国,中性,结尾,0.9925,41
中国,中性,完结篇,0.9871,42
中国,中性,这个,0.9716,43
中国,中性,全部,0.9625,44
中国,中性,路上 小心,0.9547,45
中国,中性,小心,0.9547,46
中国,中性,路上,0.9547,47
中国,中性,小心 艾伦,0.9547,48
中国,中性,还是,0.9528,49
中国,中性,看过,0.9492,50
